epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.353,1.88504,2.79782,1.4909,0.51945,0.43833,0.43441,0.18087,2.00878,1.96724,1.55713,0.00994845,0.00331615,0.00994845,0.00331615,0.00994845,0.00331615,0.00994845,0.00331615
2,201.322,1.88671,2.16515,1.50531,0.48559,0.38892,0.38385,0.1597,2.05214,2.02532,1.60862,0.0198826,0.00662754,0.0198826,0.00662754,0.0198826,0.00662754,0.0198826,0.00662754
3,291.51,1.93897,2.09747,1.55426,0.26954,0.30127,0.18422,0.05915,2.31291,3.39281,1.79342,0.0297508,0.00991693,0.0297508,0.00991693,0.0297508,0.00991693,0.0297508,0.00991693
4,382.282,2.01346,2.14215,1.61947,0.3124,0.30769,0.22553,0.07657,2.25771,2.58549,1.79373,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,474.055,2.00768,2.03202,1.62076,0.36168,0.38135,0.31144,0.11486,2.13853,1.94446,1.69906,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,564.248,1.9884,1.91416,1.61622,0.42481,0.41768,0.36095,0.13708,2.10764,1.8903,1.70974,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,652.669,1.94916,1.88612,1.58879,0.47684,0.4263,0.41221,0.15829,2.04374,1.88324,1.63976,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,741.029,1.93504,1.84169,1.58367,0.50141,0.44938,0.42891,0.16682,2.10394,1.84577,1.66587,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,827.972,1.93766,1.8062,1.59097,0.46325,0.46334,0.43399,0.17101,2.03426,1.80269,1.64168,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,917.324,1.90578,1.76841,1.57198,0.47075,0.4017,0.38811,0.15162,2.05711,1.80928,1.64,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1004.47,1.90778,1.7482,1.55602,0.48266,0.44093,0.42818,0.16663,2.07863,1.76837,1.67291,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1091.57,1.90839,1.71732,1.55526,0.50696,0.46255,0.44617,0.16632,2.02895,1.85125,1.66341,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1178.31,1.88676,1.69527,1.55522,0.49442,0.44715,0.43198,0.16884,2.0517,1.74857,1.66928,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1266.68,1.88038,1.6864,1.55763,0.56871,0.45865,0.48514,0.18533,2.03919,1.61564,1.6438,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1355.95,1.84798,1.64809,1.52866,0.49218,0.50669,0.46697,0.17487,2.04916,1.71736,1.63933,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1446.39,1.83531,1.61844,1.51431,0.54893,0.53433,0.51737,0.22015,1.97256,1.56329,1.59295,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1534.77,1.84173,1.61023,1.52845,0.55038,0.46774,0.47563,0.18992,2.02619,1.62703,1.6433,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1622.79,1.83358,1.58564,1.51518,0.57114,0.49736,0.51655,0.20733,1.9883,1.59715,1.60116,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1711.56,1.82832,1.57035,1.51297,0.54011,0.50523,0.48812,0.2011,1.98838,1.55705,1.58338,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1799.63,1.80691,1.53988,1.49545,0.5162,0.50013,0.48993,0.20321,2.02795,1.55148,1.65868,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1892,1.80482,1.54918,1.50698,0.59869,0.48226,0.51458,0.21422,2.01511,1.52109,1.60175,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1982.83,1.79164,1.50909,1.48575,0.57585,0.53099,0.53223,0.22289,1.96346,1.5277,1.56853,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2070.67,1.78087,1.49771,1.49812,0.53407,0.52087,0.50862,0.21738,2.00729,1.49289,1.61789,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2159.06,1.77156,1.4636,1.47744,0.62411,0.50995,0.53841,0.22732,1.98804,1.43857,1.59128,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2249.84,1.77868,1.47239,1.47347,0.57114,0.55296,0.53762,0.21571,1.96734,1.49417,1.58072,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2341.39,1.77383,1.46532,1.47766,0.58866,0.52168,0.5368,0.22252,1.9703,1.46923,1.59714,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2433.14,1.77513,1.44662,1.47624,0.54014,0.52316,0.50556,0.20175,2.03988,1.58472,1.61516,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2531.89,1.75783,1.44528,1.46075,0.56143,0.52725,0.52479,0.21158,2.01249,1.48057,1.59342,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2633.5,1.74907,1.42141,1.45929,0.57789,0.55313,0.54924,0.21973,1.99803,1.45346,1.59964,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
